receipt_number,item_name,item_id,unit_price,quantity,unit,pre_discount_sum
24,Zero Lime,5000112654400,6.9,1.0,st,20.9
25,Avfallspåse,7313130180621,17.5,2.0,st,47.8
25,Banan Chiquita,4011,19.9,0.66,kg,13.03
25,Creme Fraiche,7318690140436,35.9,1.0,st,35.9
25,Fiori,7350027794929,12.9,1.0,st,12.9
25,Friggs Ört-Te 25p,7310186023650,20.9,1.0,st,20.9
25,Glasspinne Ban/Car,8711327502611,10.0,2.0,st,20.0
25,Kooh-Norr Ceylonte,7311810080216,60.9,1.0,st,60.9
25,Läsk Vanilla,5000112645941,6.9,1.0,st,20.9
25,Standardmjölk 3%,7318690115144,10.32,1.0,st,12.9
25,Tomater f.kr basil,7318690105909,10.0,2.0,st,23.8
25,Vätskeersätt Sport,7318690178941,48.9,1.0,st,48.9
25,Äppellund grönt te,7310760510149,29.9,1.0,st,29.9
26,Banan Chiquita,4011,24.9,0.39,kg,9.59
26,Bärkasse papper,2,3.5,1.0,st,3.5
26,Jordn.smör Creamy,5707381019298,95.9,1.0,st,95.9
26,Kaffe Fikastund BR,7310731101574,39.9,1.0,st,56.9
26,kycklingben,2307124100000,34.9,1.91,kg,66.52
26,Lantmjölk Gammalda,7310867501286,14.9,1.0,st,14.9
26,Levain,7311070008159,42.9,1.0,st,42.9
26,Standardmjölk 3%,7318690115144,10.32,1.0,st,12.9
26,Tagliatell Chicken,7310500184180,49.9,1.0,st,49.9
27,Banan Chiquita,4011,24.9,0.43,kg,10.71
27,Bärkasse papper,2,3.5,1.0,st,3.5
27,Chokladbit Bounty,40111216,3.9,4.0,st,35.6
27,Clovves Chokl/Kola,8711327462915,8.0,2.0,st,16.0
27,Godis Snickers50g,5000159461122,3.9,2.0,st,17.8
27,Godis Twix50g,5000159459228,3.9,4.0,st,35.6
27,Gröna Bilar,7310350134601,10.0,1.0,st,15.9
27,Kycklinginnerfilé,7313940011801,19.9,4.0,st,79.6
27,Nötfärs 12%,2328012800000,79.9,2.02,kg,161.56
27,Standardmjölk 3%,7318690115144,12.9,3.0,st,38.7
27,Tagliatell Chicken,7310500184180,49.9,1.0,st,49.9
27,Tandkr Sens White,8718951312531,17.9,1.0,st,17.9
27,Tomater f.kr basil,7318690105909,10.0,1.0,st,11.9
27,Tomater f.kr vitlö,7318690105923,10.0,1.0,st,11.9
27,Wokgrönsaker,7318690080091,18.9,1.0,st,18.9
28,Banan Chiquita,4011,24.9,0.34,kg,8.34
28,Creme Fraiche,7318690140436,35.9,1.0,st,35.9
28,Hamburgare origin,7318690042198,29.9,1.0,st,29.9
28,Kycklinglårfilé,2307135200000,79.0,0.3,kg,23.7
28,Kycklinglårfilé,2307135200000,79.0,0.3,kg,23.7
28,Kycklinglårfilé,2307135200000,79.0,0.3,kg,23.7
28,Kycklinglårfilé,2307135200000,79.0,0.3,kg,23.7
28,Levain,7311070008159,42.9,1.0,st,42.9
28,Naan Bread Garlic,7311312005878,6.9,1.0,st,6.9
28,Standardmjölk 3%,7318690115144,12.9,1.0,st,12.9
28,Tagliatell Chicken,7310500184180,49.9,1.0,st,49.9
28,Tomater f.kr basil,7318690105909,10.0,2.0,st,23.8
28,Vätskeer Hallon br,73150244,44.9,1.0,st,44.9
29,Am choco pannkakor,8714801410785,10.32,1.0,st,12.9
29,Am choco pannkakor,8714801410785,12.9,1.0,st,12.9
29,Banan Chiquita,4011,25.9,0.34,kg,8.81
29,Bärkasse papper,2,3.5,1.0,st,3.5
29,Flytande Honung,7318690498261,37.9,1.0,st,37.9
29,Grekisk yogh eko,7392672001410,14.9,2.0,st,29.8
29,Jordgubbssylt,7318690146490,20.9,1.0,st,20.9
29,Pizza Capricciosa,7318690144618,34.9,1.0,st,34.9
29,ProV Blåbär,7340073300168,24.9,1.0,st,24.9
29,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
29,Tomater f.kr basil,7318690105909,10.0,2.0,st,23.8
30,Banan Chiquita,4011,25.9,0.32,kg,8.16
30,Glasspinne Ban/Car,8711327502611,10.0,1.0,st,10.0
30,Gouda i skivor,7318690081609,106.9,1.0,st,106.9
30,Juice äp/mo/in/ci,7318690502036,19.9,1.0,st,18.9
30,Smör Normalsaltat,7318690052678,55.9,1.0,st,55.9
