article_number,article_name,category
5012254061206,*Balsam Lux Moistur,
7350101195123,Choklad seasalt,
7310865889157,Cottage Cheese Van,
7318690507987,Paj Ost- & skinka,
3415581114928,*Salted Caramel,
7318690505211,Salsicciafärs,
7310865008060,Cott Cheese nat 4%,
7311631500603,Fink Hush.salt Jod,
7330797080255,Skinka rökt strim,
8710449956685,Sötpotatisklyftor,
7318690082392,Tagliatelle u ägg,
7310072000635,*Cola Max 6p,
2319232400000,Herrg 28% mellanla,
7392672002066,Kvarg blåbär utan,
7300201048003,Lammkorv Merguez,
7300206706007,Bratwurst Scan,
7340063010701,Chorizo,
7310130321283,Gyll Havregryn,
7318690115151,Mellanmjölk 1.5%,
7310380216254,Packtejp klar,
7310532114070,Super Crunch,
7318690512318,Handtvål peach,
7313593559002,Ice Tea Peach,
7310401050478,*Pink Tonic Zero,
8719956498213,*Choklad Brownie,
8719956498190,*Vit Choklad,
8430697832080,Druva grön kf ICA,
2319135300000,Ungnötslever bit,
7392672002059,Kvarg hallon,
7392672002448,Kvarg vanilj US,
7300322510007,Kycklinginnerfilé,
5000159509633,*Snickers White,
2340428600000,Grevé 28% mild,
7318690153696,Fotfil,
7310380512738,Hushållsduk 4p,
6414301053919,TOALETT DEKOR,
7310867548533,Yoghkvarg Jo/Lime,
7318690098805,Kebabstrimlor,
7340063014853,Ost- och bacongril,
7310401046754,Zero Läsk,
2312725700000,Cheddar 32%,
7318690082286,Salladsost,
7318690501657,Vetelevain,
7318690512295,Handtvål Almond,
7318690502098,Chokladmjölk UTS,
7310380216810,Batteri LR03 AAA,
7330817832628,Kycklingfilé,
7318690104261,Cott cheese nat 4%,
7310865086259,Ljus chokladmjölk,
2372782100000,Nötfärs,
7300200660008,DeliGrillkorv smal,
7392964188935,Ägg M 18pack,
2319179100000,Gouda bit,
7312331808549,Grillad Kyckling,
5760725237741,Tacokyckling,
7313134012478,Kollegie rutat A4,
7318690512622,Mjölk 3% ESL,
4091,Sötpotatis,
7350029941031,Amandine,
7330817032639,kycklinglårfilé,
5000159529549,Snickers Ice Cream,
6416453062122,Ögon Cacao,
7313619002130,Fruit Crush Ap Rhu,
7310240051261,Rödbetor skiv,
5740200016153,Brie Ekologisk,
4001686372975,*Godis Roulette Sou,
7310867502344,Iskaffe med mjölk,
6409630008693,Salami Vitlök,
5410188031836,Trop Apelsin orig,
7311070006322,Små kanelbullar,
7310401051741,Trocamust,
7310062443121,Ägg Frig utomh M/L,
7350020120145,Färdiggrill Kebab,
7318690513780,Ravioli tomat/mozz,
7393481005880,Handtvål jasmine,
7310070005342,Julmust,
7318690172970,Bad & Toalett 16-p,
19500,Grp art Kolonial,
7318690187400,Mat&Kök hushåll XL,
7350028548453,Gainomax Rasberry,
5711953147746,Klass vaniljsås,
94232,Banan Eko,
7350046676572,Basturökt skinka,
7350028548477,Gainomax Lemonade,
7310375547905,Pepsod Tandb 1p,
7318690508779,Bacon,
7350058331100,Celsius Citr/Lime,
2319240100000,Gouda cheese 30%,
7318690177814,Bacon,
7340154812665,Dr pepper Straw,
7316350315040,Morot,
7310401051758,Trocamust Zero,
5449000099785,*Coca Cola 4x150cl,
7310865560759,Normsalt Smör Ekol,
4100290027131,Iskaffe Hazelnut,
8006540956663,YES Original,
7310890201030,Äppelpaj,
3415582301921,Häagen-Dazs DUO,
